Sex,Single,Unemployed,Age,Credit,LoanDuration,PurposeOfLoan,InstallmentRate,Housing,Label,Prediction,BinaryPrediction
1.0,1,0,67,1169,6,3,4,1.0,1,0.99445826,1
0.0,0,0,22,5951,48,3,2,1.0,0,0.6894262,1
1.0,1,0,49,2096,12,2,2,1.0,1,0.9773329,1
1.0,1,0,45,7882,42,4,2,3.0,1,0.81468487,1
1.0,1,0,53,4870,24,6,3,3.0,0,0.50749856,1
1.0,1,0,35,9055,36,2,2,3.0,1,0.5054271,1
1.0,1,0,53,2835,24,4,3,1.0,1,0.75318533,1
1.0,1,0,35,6948,36,10,2,2.0,1,0.7588826,1
1.0,0,0,61,3059,12,3,2,1.0,1,0.9510717,1
1.0,0,1,28,5234,30,6,4,1.0,0,0.22684039,0
0.0,0,0,25,1295,12,6,3,2.0,0,0.3892897,0
0.0,0,0,24,4308,48,1,3,2.0,0,0.064784944,0
0.0,0,0,22,1567,12,3,1,1.0,1,0.7817381,1
1.0,1,0,60,1199,24,6,4,1.0,0,0.6680433,1
0.0,0,0,28,1403,15,6,2,2.0,1,0.5922254,1
0.0,0,0,32,1282,24,3,4,1.0,0,0.64585525,1
1.0,1,0,53,2424,24,3,4,1.0,1,0.8962202,1
1.0,1,0,25,8072,30,1,2,1.0,1,0.46440303,0
0.0,0,0,44,12579,24,10,4,3.0,0,0.023590736,0
1.0,1,0,31,3430,24,3,3,1.0,1,0.7954308,1
1.0,1,0,48,2134,9,6,4,1.0,1,0.7574767,1
1.0,1,0,44,2647,6,3,2,2.0,1,0.9708029,1
1.0,1,0,48,2241,10,6,1,2.0,1,0.98287296,1
1.0,1,0,44,1804,12,10,3,1.0,1,0.97212625,1
1.0,0,0,26,2069,10,4,2,1.0,1,0.73117304,1
1.0,1,0,36,1374,6,4,1,1.0,1,0.99367315,1
1.0,0,0,39,426,6,3,4,1.0,1,0.889282,1
0.0,0,0,42,409,12,3,3,2.0,1,0.9522095,1
1.0,1,0,34,2415,7,3,3,1.0,1,0.9513173,1
1.0,1,0,63,6836,60,1,3,1.0,0,0.0071104118,0
1.0,0,0,36,1913,18,1,3,1.0,1,0.71621054,1
1.0,1,0,27,4020,24,4,2,1.0,1,0.6680465,1
1.0,1,0,30,5866,18,6,2,1.0,1,0.71391714,1
1.0,1,0,57,1264,12,1,4,2.0,1,0.5813576,1
0.0,0,0,33,1474,12,4,4,1.0,1,0.7710897,1
1.0,1,0,25,4746,45,3,4,1.0,0,0.49658042,0
1.0,1,0,31,6110,48,2,1,3.0,1,0.8392713,1
1.0,1,0,37,2100,18,3,4,1.0,0,0.87842906,1
1.0,1,0,37,1225,10,5,2,1.0,1,0.9115867,1
1.0,1,0,24,458,9,3,4,1.0,1,0.8697248,1
1.0,1,0,30,2333,30,3,4,1.0,1,0.7747756,1
1.0,0,0,26,1158,12,3,3,1.0,1,0.78457993,1
1.0,1,0,44,6204,18,8,2,1.0,1,0.957787,1
1.0,0,0,24,6187,30,10,1,2.0,1,0.6697056,1
0.0,0,0,58,6143,48,10,4,3.0,0,0.5598829,1
0.0,0,0,35,1393,11,6,4,1.0,1,0.7170666,1
1.0,1,0,39,2299,36,3,4,1.0,1,0.79419947,1
0.0,0,1,23,1352,6,10,1,2.0,1,0.99089736,1
1.0,1,0,39,7228,11,6,1,1.0,1,0.78013957,1
0.0,0,0,28,2073,12,3,4,1.0,1,0.7245677,1
1.0,1,0,29,2333,24,4,4,1.0,1,0.764938,1
1.0,1,0,30,5965,27,10,1,1.0,1,0.98926497,1
1.0,1,0,25,1262,12,3,3,1.0,1,0.8675652,1
1.0,1,0,31,3378,18,10,2,1.0,1,0.9926609,1
1.0,1,0,57,2225,36,6,4,3.0,0,0.5132895,1
1.0,1,0,26,783,6,6,1,1.0,1,0.99082166,1
1.0,1,1,52,6468,12,3,2,1.0,0,0.2190367,0
0.0,0,0,31,9566,36,3,2,1.0,1,0.65744215,1
0.0,0,0,23,1961,18,6,3,1.0,1,0.5247275,1
0.0,0,0,23,6229,36,4,4,2.0,0,0.4227414,0
1.0,0,0,27,1391,9,1,2,1.0,1,0.91349727,1
1.0,1,0,50,1537,15,3,4,1.0,1,0.9498715,1
1.0,1,0,61,1953,36,1,4,3.0,0,0.00022281284,0
1.0,1,0,25,14421,48,1,2,1.0,0,0.03345161,0
0.0,0,0,26,3181,24,3,4,1.0,1,0.72470075,1
1.0,1,0,48,5190,27,8,4,1.0,1,0.77001673,1
0.0,0,0,29,2171,12,3,2,1.0,1,0.7958694,1
1.0,0,0,22,1007,12,6,4,1.0,1,0.4833382,0
1.0,1,0,37,1819,36,2,4,3.0,0,0.016035045,0
0.0,0,0,25,2394,36,3,4,1.0,1,0.60084224,1
0.0,0,0,30,8133,36,10,1,1.0,1,0.73841375,1
1.0,1,0,46,730,7,3,4,2.0,1,0.98614895,1
1.0,1,0,51,1164,8,7,3,3.0,1,0.94600135,1
0.0,0,0,41,5954,42,1,2,1.0,1,0.5285488,1
1.0,1,0,40,1977,36,2,4,1.0,0,0.78540736,1
1.0,1,0,66,1526,12,10,4,3.0,1,0.9243519,1
1.0,1,0,34,3965,42,3,4,1.0,0,0.7389669,1
1.0,1,0,51,4771,11,3,2,1.0,1,0.80022335,1
1.0,1,0,39,9436,54,10,2,1.0,1,0.77173847,1
1.0,0,0,22,3832,30,4,2,1.0,1,0.47810435,0
0.0,0,0,44,5943,24,3,1,1.0,0,0.60818434,1
1.0,1,0,47,1213,15,3,4,1.0,1,0.93701124,1
0.0,0,0,24,1568,18,1,3,2.0,1,0.6505602,1
0.0,0,0,58,1755,24,7,4,1.0,1,0.8100998,1
1.0,1,0,52,2315,10,3,3,1.0,1,0.9809155,1
0.0,0,0,29,1412,12,1,4,1.0,1,0.71827835,1
0.0,0,0,27,1295,18,4,4,1.0,1,0.688549,1
1.0,1,0,47,12612,36,2,1,3.0,0,0.07397288,0
1.0,1,0,30,2249,18,6,4,1.0,1,0.5718668,1
1.0,1,0,28,1108,12,8,4,1.0,0,0.57801837,1
1.0,1,0,56,618,12,3,4,1.0,1,0.98227316,1
1.0,1,0,54,1409,12,10,4,1.0,1,0.85920286,1
0.0,0,0,33,797,12,3,4,1.0,0,0.72258586,1
1.0,1,0,20,3617,24,4,4,2.0,1,0.5909413,1
1.0,1,0,54,1318,12,6,4,1.0,1,0.7925284,1
1.0,1,0,58,15945,54,1,3,2.0,0,0.00616443,0
0.0,0,0,61,2012,12,2,4,1.0,1,0.92477137,1
1.0,1,0,34,2622,18,1,4,1.0,1,0.8437363,1
1.0,1,0,36,2337,36,3,4,1.0,1,0.7873668,1
1.0,1,0,36,7057,20,10,3,2.0,1,0.7752668,1
1.0,0,0,41,1469,24,6,4,2.0,1,0.38096967,0
1.0,1,0,24,2323,36,3,4,2.0,1,0.3408232,0
0.0,0,0,24,932,6,3,3,1.0,1,0.7887121,1
1.0,1,0,35,1919,9,4,4,2.0,1,0.9135775,1
1.0,0,0,26,2445,12,10,2,2.0,1,0.9409818,1
1.0,1,0,39,11938,24,7,2,1.0,0,0.15352094,0
1.0,1,0,39,6458,18,6,2,1.0,0,0.78151953,1
1.0,1,0,32,6078,12,6,2,1.0,1,0.7893653,1
0.0,0,0,30,7721,24,4,1,1.0,1,0.2803305,0
1.0,0,0,35,1410,14,1,1,1.0,1,0.9613384,1
1.0,0,0,31,1449,6,1,1,1.0,1,0.98202085,1
0.0,0,0,23,392,15,2,4,2.0,1,0.6951953,1
1.0,1,0,28,6260,18,6,3,2.0,1,0.4581885,0
0.0,0,0,25,7855,36,6,4,1.0,0,0.4192088,0
1.0,0,0,35,1680,12,3,3,1.0,1,0.84575486,1
1.0,1,0,47,3578,48,3,4,1.0,1,0.8085026,1
0.0,0,0,30,7174,42,3,4,1.0,0,0.5976237,1
0.0,0,0,27,2132,10,4,2,2.0,1,0.71397585,1
0.0,0,0,23,4281,33,4,1,1.0,0,0.49830186,0
1.0,0,0,36,2366,12,6,3,1.0,1,0.7344373,1
0.0,0,0,25,1835,21,3,3,1.0,0,0.6904305,1
0.0,0,0,41,3868,24,10,4,2.0,1,0.6253263,1
1.0,1,0,24,1768,12,4,3,2.0,1,0.7285641,1
1.0,1,0,63,781,10,6,4,3.0,1,0.98719054,1
0.0,0,0,27,1924,18,4,4,2.0,0,0.43541643,0
1.0,1,0,30,2121,12,6,4,1.0,1,0.6164533,1
1.0,0,0,40,701,12,3,4,1.0,1,0.81306756,1
1.0,1,0,30,639,12,8,4,1.0,0,0.5458742,1
1.0,1,1,34,1860,12,10,4,1.0,1,0.7945058,1
0.0,0,0,29,3499,12,6,3,1.0,0,0.7739484,1
0.0,0,0,24,8487,48,6,1,1.0,1,0.54273015,1
1.0,1,0,29,6887,36,2,4,1.0,0,0.50269294,1
1.0,1,0,27,2708,15,4,2,1.0,1,0.7719247,1
1.0,1,0,47,1984,18,4,4,3.0,1,0.9106323,1
0.0,0,0,21,10144,60,3,2,1.0,1,0.888417,1
0.0,0,0,38,1240,12,3,4,1.0,1,0.80561626,1
1.0,1,0,27,8613,27,10,2,1.0,1,0.676234,1
1.0,1,0,66,766,12,3,4,1.0,0,0.9899455,1
1.0,1,0,35,2728,15,3,4,1.0,1,0.90299267,1
0.0,0,0,44,1881,12,3,2,2.0,1,0.96097654,1
1.0,0,0,27,709,6,6,2,1.0,1,0.7926585,1
0.0,0,0,30,4795,36,3,4,1.0,1,0.6784388,1
1.0,1,0,27,3416,27,3,3,1.0,1,0.7325376,1
1.0,1,0,22,2462,18,4,2,1.0,0,0.6896436,1
0.0,0,0,23,2288,21,4,4,1.0,1,0.68971276,1
1.0,1,0,30,3566,48,1,4,1.0,1,0.06724567,0
0.0,0,0,39,860,6,6,1,1.0,1,0.9825239,1
0.0,0,0,51,682,12,6,4,1.0,1,0.83981895,1
1.0,1,0,28,5371,36,4,3,1.0,1,0.6419735,1
1.0,1,0,46,1582,18,3,4,1.0,1,0.9004155,1
1.0,1,0,42,1346,6,3,2,3.0,1,0.98510104,1
1.0,1,0,38,1924,10,3,1,1.0,1,0.9867263,1
1.0,1,0,24,5848,36,3,4,1.0,1,0.6017052,1
0.0,0,0,29,7758,24,10,2,2.0,1,0.4505725,0
1.0,1,0,36,6967,24,1,4,2.0,1,0.028638527,0
0.0,0,0,20,1282,12,4,2,2.0,0,0.43456143,0
1.0,1,0,48,1288,9,8,3,1.0,1,0.902666,1
1.0,0,0,45,339,12,9,4,1.0,1,0.7510789,1
1.0,1,0,38,3512,24,6,2,1.0,1,0.8699245,1
1.0,1,0,34,1898,6,3,1,1.0,1,0.98616904,1
1.0,1,0,36,2872,24,3,3,1.0,1,0.79038507,1
0.0,0,0,30,1055,18,6,4,1.0,1,0.47130463,0
1.0,1,0,36,1262,15,5,4,1.0,1,0.6174763,1
1.0,1,1,70,7308,10,6,2,3.0,1,0.7211745,1
1.0,1,0,36,909,36,6,4,1.0,1,0.46451554,0
1.0,1,0,32,2978,6,4,1,1.0,1,0.9776297,1
0.0,0,1,33,1131,18,4,4,1.0,0,0.11770519,0
0.0,0,0,20,1577,11,4,4,1.0,1,0.7341341,1
0.0,0,0,25,3972,24,4,2,2.0,1,0.27040023,0
1.0,0,0,31,1935,24,1,4,1.0,0,0.51583046,1
1.0,1,0,33,950,15,6,4,2.0,0,0.397293,0
0.0,0,0,26,763,12,4,4,1.0,1,0.7106787,1
0.0,0,1,34,2064,24,4,3,1.0,0,0.15148728,0
1.0,1,0,33,1414,8,3,4,1.0,1,0.91624975,1
1.0,1,0,26,3414,21,2,2,1.0,0,0.7967507,1
0.0,0,1,53,7485,30,10,4,1.0,0,0.5085413,1
1.0,0,0,42,2577,12,4,2,1.0,1,0.8304421,1
1.0,1,0,52,338,6,3,4,1.0,1,0.9908801,1
1.0,1,0,31,1963,12,3,4,2.0,1,0.8492909,1
1.0,1,0,65,571,21,6,4,1.0,1,0.8365845,1
1.0,0,0,28,9572,36,1,1,1.0,0,0.10246121,0
1.0,0,0,30,4455,36,1,2,1.0,0,0.32244265,0
1.0,1,0,40,1647,21,6,4,1.0,0,0.41089,0
1.0,1,0,50,3777,24,4,4,1.0,1,0.8180897,1
1.0,1,0,36,884,18,6,4,1.0,0,0.4071083,0
1.0,1,0,31,1360,15,3,4,1.0,1,0.87126106,1
0.0,0,0,74,5129,9,10,2,3.0,0,0.64726424,1
1.0,1,1,68,1175,16,6,2,3.0,1,0.9915714,1
1.0,0,0,20,674,12,3,4,1.0,0,0.6907454,1
0.0,0,0,33,3244,18,4,1,1.0,1,0.8142633,1
1.0,1,0,54,4591,24,1,2,1.0,0,0.115570135,0
1.0,1,0,34,3844,48,1,4,3.0,0,0.00026149905,0
1.0,1,0,36,3915,27,1,4,1.0,0,0.6325403,1
1.0,0,0,29,2108,6,3,2,2.0,1,0.908611,1
1.0,1,0,21,3031,45,3,4,2.0,0,0.16388807,0
0.0,0,0,34,1501,9,2,2,1.0,0,0.9469551,1
0.0,0,0,28,1382,6,3,1,1.0,1,0.9445849,1
0.0,0,0,27,951,12,4,4,2.0,0,0.5180351,1
1.0,1,0,36,2760,24,10,4,3.0,1,0.42809853,0
1.0,0,0,40,4297,18,4,4,1.0,0,0.8303444,1
1.0,1,0,52,936,9,2,4,1.0,1,0.98868173,1
1.0,0,0,27,1168,12,6,4,1.0,1,0.48665953,0
1.0,1,0,26,5117,27,1,3,1.0,1,0.5025687,1
1.0,0,0,21,902,12,9,4,2.0,0,0.43348044,0
1.0,1,0,38,1495,12,6,4,1.0,1,0.5241221,1
1.0,1,0,38,10623,30,10,3,3.0,1,0.10105797,0
1.0,1,0,43,1935,12,4,4,1.0,1,0.8690187,1
1.0,1,0,26,1424,12,5,4,1.0,1,0.73226446,1
1.0,0,0,21,6568,24,1,2,1.0,1,0.17402807,0
1.0,1,0,55,1413,12,10,3,1.0,1,0.97841436,1
1.0,1,0,33,3074,9,3,1,1.0,1,0.96104217,1
0.0,0,0,45,3835,36,3,2,1.0,1,0.67356855,1
1.0,1,1,50,5293,27,1,2,1.0,0,0.05249342,0
1.0,1,0,66,1908,30,1,4,1.0,0,0.15473816,0
1.0,1,0,51,3342,36,3,4,1.0,1,0.819548,1
0.0,0,0,39,932,6,9,1,1.0,1,0.99774283,1
1.0,1,0,31,3104,18,1,3,1.0,1,0.813101,1
1.0,1,0,23,3913,36,3,2,1.0,1,0.60548156,1
1.0,0,0,24,3021,24,4,2,2.0,1,0.32075137,0
0.0,0,0,64,1364,10,6,2,1.0,1,0.9834393,1
1.0,0,0,26,625,12,3,4,1.0,1,0.72133815,1
0.0,0,0,23,1200,12,2,4,2.0,1,0.5761159,1
1.0,1,0,30,707,12,3,4,1.0,1,0.87623525,1
1.0,1,0,32,2978,24,1,4,1.0,1,0.7518005,1
1.0,1,0,30,4657,15,10,3,1.0,1,0.96334267,1
1.0,1,0,27,2613,36,8,4,1.0,1,0.6959365,1
1.0,1,0,27,10961,48,3,1,1.0,0,0.47223333,0
1.0,1,0,53,7865,12,4,4,3.0,0,0.11097395,0
1.0,1,0,22,1478,9,3,4,1.0,0,0.86899084,1
1.0,1,0,22,3149,24,4,4,3.0,1,0.44575202,0
1.0,1,0,26,4210,36,3,4,1.0,0,0.6378525,1
1.0,1,0,51,2507,9,6,2,3.0,1,0.8686631,1
1.0,1,0,35,2141,12,3,3,1.0,1,0.90050125,1
1.0,0,0,25,866,18,3,4,1.0,1,0.6855715,1
1.0,1,0,42,1544,4,3,2,1.0,1,0.98957586,1
1.0,1,1,30,1823,24,3,4,1.0,0,0.38374498,0
1.0,1,1,23,14555,6,6,1,1.0,0,0.48578587,0
1.0,0,0,61,2767,21,1,4,2.0,0,0.04283059,0
0.0,0,0,35,1291,12,3,4,1.0,1,0.7702926,1
1.0,1,0,39,2522,30,3,1,1.0,1,0.90981895,1
0.0,0,0,29,915,24,6,4,1.0,0,0.3227318,0
1.0,1,0,51,1595,6,3,3,1.0,1,0.9911671,1
1.0,1,0,24,4605,48,10,3,3.0,0,0.21329989,0
0.0,0,0,27,1185,12,1,3,1.0,1,0.8790139,1
0.0,0,0,35,3447,12,9,4,1.0,1,0.86151016,1
1.0,1,0,25,1258,24,1,4,1.0,1,0.6856977,1
1.0,1,0,52,717,12,3,4,1.0,1,0.9757123,1
1.0,1,0,35,1204,6,6,4,2.0,1,0.76261884,1
1.0,1,0,26,1925,24,4,2,1.0,1,0.6758731,1
0.0,0,1,22,433,18,3,3,2.0,0,0.12780054,0
0.0,0,0,39,666,6,6,3,1.0,1,0.8658984,1
0.0,0,0,46,2251,12,4,1,1.0,1,0.9247451,1
0.0,0,0,24,2150,30,6,4,1.0,0,0.3114023,0
1.0,1,0,35,4151,24,4,2,1.0,1,0.7438722,1
1.0,1,0,24,2030,9,4,2,1.0,1,0.817027,1
1.0,1,0,27,7418,60,3,1,1.0,1,0.8682282,1
1.0,1,0,35,2684,24,3,4,1.0,1,0.86434823,1
1.0,0,0,29,2149,12,3,4,3.0,0,0.27966318,0
0.0,0,0,23,3812,15,10,1,1.0,1,0.9782934,1
0.0,0,1,57,1154,11,3,4,1.0,1,0.75719035,1
1.0,1,0,27,1657,12,4,2,1.0,1,0.8053344,1
0.0,0,0,55,1603,24,3,4,1.0,1,0.819501,1
1.0,1,0,36,5302,18,6,2,3.0,1,0.49693286,0
0.0,0,0,57,2748,12,2,2,3.0,1,0.9299739,1
1.0,1,0,32,1231,10,6,3,1.0,1,0.60062546,1
1.0,1,0,37,802,15,3,4,1.0,0,0.8749093,1
1.0,1,0,36,6304,36,1,4,1.0,1,0.29364085,0
0.0,0,0,38,1533,24,3,4,1.0,1,0.65369016,1
1.0,0,0,45,8978,14,6,1,1.0,0,0.2645962,0
1.0,1,0,25,999,24,3,4,1.0,1,0.76643986,1
1.0,1,0,32,2662,18,6,4,1.0,1,0.5699747,1
0.0,0,0,37,1402,12,4,3,2.0,1,0.84535694,1
1.0,1,1,36,12169,48,6,4,3.0,1,0.86255336,1
1.0,1,0,28,3060,48,3,4,1.0,0,0.60391146,1
1.0,0,0,34,11998,30,8,1,1.0,0,0.11760033,0
1.0,1,0,32,2697,9,3,1,1.0,1,0.9636166,1
0.0,0,0,26,2404,18,3,2,1.0,1,0.6119665,1
1.0,0,0,49,1262,12,4,2,1.0,1,0.9043051,1
0.0,0,0,32,4611,6,4,1,1.0,0,0.5834207,1
1.0,1,0,29,1901,24,3,4,2.0,1,0.68554634,1
1.0,1,0,23,3368,15,10,3,2.0,1,0.8571163,1
1.0,1,0,50,1574,12,4,4,1.0,1,0.9166749,1
1.0,1,0,49,1445,18,3,4,1.0,1,0.92347693,1
1.0,1,0,63,1520,15,4,4,1.0,1,0.96296877,1
1.0,0,0,37,3878,24,6,4,1.0,1,0.5556467,1
0.0,0,0,35,10722,47,6,1,1.0,1,0.47748753,0
1.0,1,0,26,4788,48,10,4,1.0,1,0.7255171,1
1.0,1,1,31,7582,48,7,2,3.0,1,0.8495565,1
0.0,0,0,49,1092,12,3,4,1.0,1,0.9177781,1
1.0,0,0,48,1024,24,3,4,1.0,0,0.7515546,1
1.0,0,0,26,1076,12,1,2,1.0,1,0.91467583,1
1.0,0,0,28,9398,36,10,1,2.0,0,0.2850501,0
0.0,0,0,44,6419,24,10,2,3.0,1,0.5932779,1
1.0,1,0,56,4796,42,10,4,3.0,1,0.5175848,1
1.0,0,0,46,7629,48,1,4,1.0,1,0.032749854,0
0.0,0,0,26,9960,48,4,1,1.0,0,0.58635026,1
0.0,0,0,20,4675,12,10,1,2.0,1,0.7312632,1
1.0,1,0,45,1287,10,6,4,1.0,1,0.65607125,1
1.0,1,0,43,2515,18,4,3,1.0,1,0.7191962,1
1.0,1,0,32,2745,21,4,3,1.0,1,0.6981399,1
0.0,0,1,54,672,6,6,1,1.0,1,0.9968693,1
0.0,0,0,42,3804,36,3,4,1.0,0,0.6538505,1
1.0,1,0,37,1344,24,6,4,1.0,0,0.40787095,0
1.0,1,0,49,1038,10,6,4,1.0,1,0.7388537,1
1.0,1,0,44,10127,48,6,2,3.0,0,0.6874007,1
1.0,0,0,33,1543,6,4,4,1.0,1,0.86658376,1
0.0,0,0,24,4811,30,10,2,2.0,1,0.83748406,1
1.0,0,0,33,727,12,3,4,1.0,0,0.74575526,1
0.0,0,0,24,1237,8,4,3,1.0,0,0.7091952,1
1.0,0,0,22,276,9,6,4,2.0,1,0.3358519,0
1.0,1,1,40,5381,48,7,3,3.0,1,0.76489264,1
1.0,1,0,25,5511,24,4,4,1.0,1,0.81691176,1
0.0,0,0,26,3749,24,4,2,1.0,1,0.43496355,0
1.0,0,0,25,685,12,6,2,1.0,0,0.7227873,1
1.0,1,0,29,1494,4,6,1,1.0,1,0.99358696,1
1.0,1,0,31,2746,36,4,4,1.0,0,0.6235593,1
1.0,1,0,38,708,12,4,2,1.0,1,0.9026456,1
0.0,0,0,48,4351,24,4,1,1.0,1,0.8549064,1
1.0,1,0,32,701,12,2,4,1.0,1,0.89716005,1
0.0,0,0,27,3643,15,4,1,1.0,1,0.72166187,1
1.0,0,1,28,4249,30,6,4,1.0,0,0.17746271,0
1.0,0,0,32,1938,24,3,4,1.0,0,0.6813367,1
1.0,1,0,34,2910,24,10,2,3.0,1,0.83837146,1
1.0,1,0,28,2659,18,4,4,1.0,1,0.8445772,1
0.0,0,0,36,1028,18,6,4,1.0,1,0.56513673,1
1.0,1,0,39,3398,8,6,1,1.0,1,0.9927925,1
1.0,1,0,49,5801,12,4,2,2.0,1,0.517245,1
0.0,0,0,34,1525,24,6,4,1.0,1,0.44493186,0
1.0,1,0,31,4473,36,3,4,1.0,1,0.73076403,1
1.0,1,0,28,1068,6,3,4,1.0,1,0.91281515,1
1.0,1,1,75,6615,24,10,2,3.0,1,0.95143163,1
